university,ungrad_offcampus_boston,undergrad_offcampus_outside,grad_offcampus_boston,grad_offcampus_outside,school_year,total_enrollment,total_offcampus,total_undergrad_offcampus,total_grad_offcampus
Boston Baptist College,0,25,0,0,2016-2017,77,25,25,0
Boston Baptist College,0,25,0,0,2017-2018,77,25,25,0
Boston Baptist College,2,36,0,0,2018-2019,76,38,38,0
Boston Baptist College,1,32,0,0,2019-2020,65,33,33,0
Boston Baptist College,1,17,0,0,2020-2021,58,18,18,0
Boston Baptist College,1,12,0,0,2021-2022,42,13,13,0
Boston Baptist College,0,13,0,0,2022-2023,45,13,13,0
Boston Baptist College,2,10,0,0,2023-2024,33,12,12,0
Bay State College,158,403,0,0,2016-2017,653,561,561,0
Bay State College,118,377,0,0,2017-2018,560,495,495,0
Bay State College,95,425,0,0,2018-2019,567,520,520,0
Bay State College,94,312,0,0,2019-2020,442,406,406,0
Bay State College,72,317,0,0,2020-2021,371,389,389,0
Bay State College,35,249,0,0,2021-2022,314,284,284,0
Bay State College,32,183,0,0,2022-2023,221,215,215,0
Berklee College of Music,2770,392,5,24,2016-2017,4509,3191,3162,29
Berklee College of Music,2900,386,3,21,2017-2018,4533,3310,3286,24
Berklee College of Music,3187,436,205,65,2018-2019,5402,3893,3623,270
Berklee College of Music,3147,437,185,69,2019-2020,5388,3838,3584,254
Berklee College of Music,1572,2154,59,147,2020-2021,4672,3932,3726,206
Berklee College of Music,3331,617,183,64,2021-2022,5708,4195,3948,247
Berklee College of Music,3838,489,168,66,2022-2023,6094,4561,4327,234
Berklee College of Music,3940,489,154,61,2023-2024,6158,4644,4429,215
Boston Architectural College,61,234,65,302,2016-2017,675,662,295,367
Boston Architectural College,47,256,54,289,2017-2018,656,646,303,343
Boston Architectural College,85,169,76,240,2018-2019,590,570,254,316
Boston Architectural College,77,170,95,269,2019-2020,634,611,247,364
Boston Architectural College,56,156,59,179,2021-2022,450,450,212,238
Boston Architectural College,67,117,62,157,2022-2023,421,403,184,219
Boston Architectural College,56,128,76,123,2023-2024,412,383,184,199
Boston College,103,303,0,0,2018-2019,406,406,406,0
Boston College,109,275,0,0,2019-2020,388,384,384,0
Boston College,80,236,0,0,2020-2021,320,316,316,0
Boston College,53,244,0,0,2021-2022,303,297,297,0
Boston College,74,160,0,0,2022-2023,341,234,234,0
Boston Conservatory Berklee,362,23,151,65,2016-2017,797,601,385,216
Boston Conservatory Berklee,360,30,179,79,2017-2018,872,648,390,258
Boston University,2884,1673,5247,3960,2016-2017,26682,13764,4557,9207
Boston University,2997,1963,5642,4157,2017-2018,27681,14759,4960,9799
Boston University,3135,1764,5513,3892,2018-2019,27544,14304,4899,9405
Boston University,3183,1661,5552,3661,2019-2020,27040,14057,4844,9213
Boston University,3618,5787,5833,5495,2020-2021,28431,20733,9405,11328
Boston University,4130,2306,7535,4658,2021-2022,30776,18629,6436,12193
Boston University,3577,2081,6375,6359,2022-2023,31122,18392,5658,12734
Boston University,4028,1806,8232,4878,2023-2024,32050,18944,5834,13110
Emerson College,329,1296,222,409,2016-2017,4450,2256,1625,631
Emerson College,513,1434,197,447,2017-2018,4494,2591,1947,644
Emerson College,351,1495,219,484,2018-2019,4560,2549,1846,703
Emerson College,153,1028,160,873,2019-2020,4954,2214,1181,1033
Emerson College,403,1484,174,419,2020-2021,4333,2480,1887,593
Emerson College,396,1091,223,423,2021-2022,4792,2133,1487,646
Emerson College,310,1084,183,469,2022-2023,4837,2046,1394,652
Emerson College,334,1074,191,424,2023-2024,4791,2023,1408,615
Emmanuel College,382,417,51,119,2016-2017,2082,969,799,170
Emmanuel College,339,463,40,90,2017-2018,1983,932,802,130
Emmanuel College,219,371,33,79,2018-2019,2083,702,590,112
Emmanuel College,310,322,25,77,2019-2020,2099,734,632,102
Emmanuel College,98,1688,19,89,2020-2021,1894,1894,1786,108
Emmanuel College,223,303,15,47,2021-2022,1847,588,526,62
Emmanuel College,177,283,13,46,2022-2023,1904,519,460,59
Emmanuel College,214,267,10,58,2023-2024,1928,549,481,68
Fisher College,286,367,9,25,2016-2017,1005,687,653,34
Fisher College,262,368,9,31,2017-2018,993,670,630,40
Fisher College,202,350,8,26,2018-2019,889,586,552,34
Fisher College,176,275,7,35,2019-2020,851,493,451,42
Fisher College,133,296,18,86,2020-2021,768,533,429,104
Fisher College,132,238,17,90,2021-2022,748,477,370,107
Fisher College,142,224,12,90,2022-2023,775,468,366,102
Fisher College,121,225,6,102,2023-2024,776,454,346,108
Benjamin Franklin Institute of Technology,214,251,0,0,2016-2017,492,465,465,0
Benjamin Franklin Institute of Technology,220,298,0,0,2017-2018,540,518,518,0
Benjamin Franklin Institute of Technology,261,270,0,0,2018-2019,554,531,531,0
Benjamin Franklin Institute of Technology,293,236,0,0,2019-2020,519,529,529,0
Benjamin Franklin Institute of Technology,203,167,0,0,2020-2021,370,370,370,0
Benjamin Franklin Institute of Technology,211,198,0,0,2021-2022,409,409,409,0
Benjamin Franklin Institute of Technology,200,186,0,0,2022-2023,386,386,386,0
Benjamin Franklin Institute of Technology,229,194,0,0,2023-2024,423,423,423,0
Harvard University (Boston Based),0,0,724,1381,2016-2017,4072,2105,0,2105
Harvard University (Boston Based),0,0,673,1304,2017-2018,4020,1977,0,1977
Harvard University (Boston Based),0,0,736,1300,2018-2019,3970,2036,0,2036
Harvard University (Boston Based),0,0,812,1511,2019-2020,4101,2323,0,2323
Harvard University (Boston Based),0,0,724,1772,2020-2021,3447,2496,0,2496
Harvard University (Boston Based),0,0,932,1809,2021-2022,4250,2741,0,2741
Harvard University (Boston Based),0,0,996,2013,2022-2023,5067,3009,0,3009
Harvard University (Boston Based),0,0,997,2076,2023-2024,4993,3073,0,3073
Massachussetts College of Art and Design,294,690,45,83,2016-2017,1785,1112,984,128
Massachussetts College of Art and Design,343,676,53,70,2017-2018,1871,1142,1019,123
Massachussetts College of Art and Design,288,716,24,94,2018-2019,1872,1122,1004,118
Massachussetts College of Art and Design,409,555,41,82,2019-2020,1908,1087,964,123
Massachussetts College of Art and Design,270,1030,29,88,2020-2021,1821,1417,1300,117
Massachussetts College of Art and Design,326,709,35,86,2021-2022,1856,1156,1035,121
Massachussetts College of Art and Design,275,685,32,72,2022-2023,1820,1064,960,104
Massachussetts College of Art and Design,266,767,30,78,2023-2024,1895,1141,1033,108
MCPHS,891,1104,831,910,2016-2017,4467,3736,1995,1741
MCPHS,993,1071,1015,670,2017-2018,4452,3749,2064,1685
MCPHS,942,1157,917,690,2018-2019,4448,3706,2099,1607
MCPHS,864,1175,949,609,2019-2020,4323,3597,2039,1558
MCPHS,718,1710,809,667,2020-2021,4275,3904,2428,1476
MCPHS,781,1380,620,522,2021-2022,4018,3303,2161,1142
MCPHS,625,1350,677,566,2022-2023,3935,3218,1975,1243
MCPHS,720,1305,586,521,2023-2024,3826,3132,2025,1107
MIT,324,358,598,3711,2017-2018,11434,4991,682,4309
MIT,650,524,634,3972,2018-2019,11558,5780,1174,4606
MIT,428,715,508,3928,2019-2020,11387,5579,1143,4436
MIT,72,3522,533,4961,2020-2021,11258,9088,3594,5494
MIT,582,560,685,4528,2021-2022,11939,6355,1142,5213
MIT,570,524,659,4221,2022-2023,11875,5974,1094,4880
MIT,569,499,658,4359,2023-2024,11936,6085,1068,5017
MGH Institute of Health Professions,100,432,241,788,2016-2017,1561,1561,532,1029
MGH Institute of Health Professions,130,429,228,794,2017-2018,1581,1581,559,1022
MGH Institute of Health Professions,129,434,208,844,2018-2019,1615,1615,563,1052
MGH Institute of Health Professions,98,411,235,865,2019-2020,1609,1609,509,1100
MGH Institute of Health Professions,95,407,210,933,2020-2021,1645,1645,502,1143
MGH Institute of Health Professions,61,344,205,957,2021-2022,1566,1567,405,1162
MGH Institute of Health Professions,54,276,180,1039,2022-2023,1549,1549,330,1219
MGH Institute of Health Professions,47,271,169,1011,2023-2024,1498,1498,318,1180
New England College of Optometry,0,0,358,175,2016-2017,533,533,0,533
New England College of Optometry,0,0,367,156,2017-2018,528,523,0,523
New England College of Optometry,0,0,378,143,2018-2019,521,521,0,521
New England College of Optometry,0,0,396,144,2019-2020,540,540,0,540
New England College of Optometry,0,0,294,234,2020-2021,528,528,0,528
New England College of Optometry,0,0,381,142,2021-2022,523,523,0,523
New England College of Optometry,0,0,399,137,2022-2023,536,536,0,536
New England College of Optometry,0,0,394,135,2023-2024,529,529,0,529
New England Conservatory,217,54,314,77,2016-2017,819,662,271,391
New England Conservatory,168,47,301,83,2017-2018,844,599,215,384
New England Conservatory,211,44,275,84,2018-2019,838,614,255,359
New England Conservatory,209,50,257,76,2019-2020,843,592,259,333
New England Conservatory,146,258,185,112,2020-2021,701,701,404,297
New England Conservatory,173,47,284,74,2021-2022,807,578,220,358
