university,ungrad_offcampus_boston,undergrad_offcampus_outside,grad_offcampus_boston,grad_offcampus_outside,school_year,total_enrollment,total_offcampus,total_undergrad_offcampus,total_grad_offcampus
New England Conservatory,163,51,319,70,2022-2023,795,603,214,389
New England Conservatory,156,58,297,88,2023-2024,784,599,214,385
New England Law Boston,0,0,175,385,2017-2018,560,560,0,560
New England Law Boston,0,0,178,364,2018-2019,541,542,0,542
New England Law Boston,0,0,257,439,2019-2020,696,696,0,696
New England Law Boston,0,0,316,589,2020-2021,905,905,0,905
New England Law Boston,0,0,346,716,2021-2022,1062,1062,0,1062
New England Law Boston,0,0,401,673,2022-2023,1074,1074,0,1074
New England Law Boston,0,0,369,716,2023-2024,1085,1085,0,1085
Northeastern University,6056,2154,6003,5205,2017-2018,30538,19418,8210,11208
Northeastern University,6609,2197,6635,5710,2018-2019,31666,21151,8806,12345
Northeastern University,5899,2138,6706,6534,2019-2020,32798,21277,8037,13240
Northeastern University,6479,4364,5411,6549,2020-2021,31496,22803,10843,11960
Northeastern University,7162,2791,5678,9035,2021-2022,35909,24666,9953,14713
Northeastern University,6572,2839,8494,9476,2022-2023,40572,27381,9411,17970
Northeastern University,8039,2622,10653,9477,2023-2024,43144,30791,10661,20130
Sattler College,3,3,0,0,2020-2021,74,6,6,0
Sattler College,3,3,0,0,2021-2022,44,6,6,0
Sattler College,6,19,0,0,2022-2023,77,25,25,0
SHOWA Boston Institute,0,0,0,0,2016-2017,229,0,0,0
SHOWA Boston Institute,0,0,0,0,2017-2018,222,0,0,0
SHOWA Boston Institute,0,0,0,0,2018-2019,252,0,0,0
SHOWA Boston Institute,0,0,0,0,2019-2020,236,0,0,0
SHOWA Boston Institute,0,287,0,0,2020-2021,287,287,287,0
SHOWA Boston Institute,0,273,0,0,2021-2022,273,273,273,0
SHOWA Boston Institute,0,0,0,0,2022-2023,1039,0,0,0
SHOWA Boston Institute,0,0,0,0,2023-2024,918,0,0,0
Simmons College,130,548,475,2080,2016-2017,4367,3233,678,2555
Simmons College,154,489,529,4001,2017-2018,6300,5173,643,4530
Simmons College,152,538,414,1162,2019-2020,3360,2266,690,1576
Simmons College,222,1486,322,1151,2020-2021,3268,3181,1708,1473
Simmons College,66,645,235,1301,2021-2022,3236,2247,711,1536
Simmons College,194,487,179,1100,2022-2023,3108,1960,681,1279
Simmons College,232,528,369,1147,2023-2024,3279,2276,760,1516
St. John's Seminary,18,0,28,74,2016-2017,193,120,18,102
St. John's Seminary,8,0,43,67,2017-2018,191,118,8,110
St. John's Seminary,1,4,13,49,2018-2019,148,67,5,62
St. John's Seminary,2,6,8,8,2019-2020,90,24,8,16
St. John's Seminary,3,8,6,10,2020-2021,108,27,11,16
St. John's Seminary,1,10,10,35,2021-2022,96,56,11,45
St. John's Seminary,2,6,12,9,2022-2023,72,29,8,21
St. John's Seminary,1,8,16,40,2023-2024,106,65,9,56
Suffolk University,2019,1871,762,1055,2016-2017,7046,5707,3890,1817
Suffolk University,1943,1837,756,1007,2017-2018,6832,5543,3780,1763
Suffolk University,1852,1728,786,1019,2018-2019,6970,5385,3580,1805
Suffolk University,1737,1599,871,1042,2019-2020,6825,5249,3336,1913
Suffolk University,1382,2151,825,1364,2020-2021,6576,5722,3533,2189
Suffolk University,1269,1513,879,1256,2021-2022,6372,4917,2782,2135
Suffolk University,1219,1381,934,1182,2022-2023,6473,4716,2600,2116
Suffolk University,1418,1334,1001,1100,2023-2024,6564,4853,2752,2101
Tufts University,102,88,1664,1079,2016-2017,3090,2933,190,2743
Tufts University,64,54,1557,1207,2017-2018,3083,2882,118,2764
Tufts University,38,30,1566,1240,2018-2019,3148,2874,68,2806
Tufts University,30,51,1586,1223,2019-2020,3213,2890,81,2809
Tufts University,29,181,1332,1506,2020-2021,3215,3048,210,2838
Tufts University,38,125,1485,1436,2021-2022,3423,3084,163,2921
Tufts University,36,44,1459,1127,2022-2023,2833,2666,80,2586
Tufts University,36,171,1336,1024,2023-2024,3020,2567,207,2360
UMass Boston,4113,6454,1011,1812,2016-2017,13390,13390,10567,2823
UMass Boston,4478,7874,934,2624,2017-2018,15910,15910,12352,3558
UMass Boston,3835,7564,801,1925,2018-2019,15192,14125,11399,2726
UMass Boston,3647,7356,726,1753,2019-2020,14543,13482,11003,2479
UMass Boston,3311,8895,647,1712,2020-2021,14857,14565,12206,2359
UMass Boston,2711,7152,674,2229,2021-2022,13213,12766,9863,2903
UMass Boston,3144,7366,814,1543,2022-2023,13969,12867,10510,2357
UMass Boston,3297,7292,917,1099,2023-2024,13707,12605,10589,2016
Urban College of Boston,435,380,0,0,2016-2017,815,815,815,0
Urban College of Boston,384,371,0,0,2017-2018,755,755,755,0
Urban College of Boston,432,442,0,0,2018-2019,874,874,874,0
Urban College of Boston,388,362,0,0,2019-2020,750,750,750,0
Urban College of Boston,252,211,0,0,2020-2021,463,463,463,0
Urban College of Boston,168,293,0,0,2021-2022,461,461,461,0
Urban College of Boston,590,0,0,0,2022-2023,590,590,590,0
Urban College of Boston,162,542,0,0,2023-2024,704,704,704,0
Wenworth Institute of Technology,812,1342,56,116,2016-2017,4514,2326,2154,172
Wenworth Institute of Technology,770,1366,58,112,2017-2018,4409,2306,2136,170
Wenworth Institute of Technology,493,1627,30,128,2018-2019,4396,2278,2120,158
Wenworth Institute of Technology,755,1366,36,94,2019-2020,4335,2251,2121,130
Wenworth Institute of Technology,839,2236,39,113,2020-2021,4383,3227,3075,152
Wenworth Institute of Technology,739,1322,61,134,2021-2022,4020,2256,2061,195
Wenworth Institute of Technology,626,1067,36,85,2022-2023,3599,1814,1693,121
Wenworth Institute of Technology,475,1065,53,99,2023-2024,3720,1692,1540,152
Wheelock College,88,201,75,241,2016-2017,1053,605,289,316
Wheelock College,81,167,57,139,2017-2018,811,444,248,196
