ZIP5,year,count,Neighbourhood
02128,2022-2023,1135,East Boston
02114,2023-2024,1068,Downtown
02114,2023-2024,1068,West End
02111,2017-2018,1070,Chinatown
02111,2017-2018,1070,Downtown
02119,2021-2022,1011,Roxbury
02116,2021-2022,1038,Back Bay
02111,2023-2024,1048,Chinatown
02111,2023-2024,1048,Downtown
02130,2016-2017,995,Jamaica Plain
02128,2020-2021,1037,East Boston
02111,2022-2023,1022,Chinatown
02111,2022-2023,1022,Downtown
02114,2022-2023,1013,Downtown
02114,2022-2023,1013,West End
02130,2019-2020,971,Jamaica Plain
02130,2018-2019,938,Jamaica Plain
02128,2019-2020,938,East Boston
02114,2017-2018,923,Downtown
02114,2017-2018,923,West End
02128,2018-2019,899,East Boston
02111,2021-2022,884,Chinatown
02111,2021-2022,884,Downtown
02119,2017-2018,834,Roxbury
02116,2020-2021,798,Back Bay
02111,2018-2019,807,Chinatown
02111,2018-2019,807,Downtown
02111,2019-2020,790,Chinatown
02111,2019-2020,790,Downtown
02111,2020-2021,781,Chinatown
02111,2020-2021,781,Downtown
02116,2018-2019,769,Back Bay
02128,2021-2022,760,East Boston
02114,2016-2017,757,Downtown
02114,2016-2017,757,West End
02116,2016-2017,732,Back Bay
02120,2019-2020,738,Mission Hill
02120,2019-2020,738,Roxbury
02114,2021-2022,737,Downtown
02114,2021-2022,737,West End
02116,2019-2020,737,Back Bay
02124,2023-2024,725,Dorchester
02127,2023-2024,700,South Boston
02124,2022-2023,702,Dorchester
02128,2017-2018,687,East Boston
02124,2020-2021,670,Dorchester
02127,2022-2023,659,South Boston
02114,2018-2019,636,Downtown
02114,2018-2019,636,West End
02125,2017-2018,615,Dorchester
02119,2019-2020,600,Roxbury
02114,2020-2021,592,Downtown
02114,2020-2021,592,West End
02119,2018-2019,583,Roxbury
02124,2018-2019,566,Dorchester
02119,2016-2017,538,Roxbury
02114,2019-2020,559,Downtown
02114,2019-2020,559,West End
02127,2020-2021,519,South Boston
02111,2016-2017,531,Chinatown
02111,2016-2017,531,Downtown
02128,2016-2017,512,East Boston
02120,2018-2019,513,Mission Hill
02120,2018-2019,513,Roxbury
02113,2023-2024,494,Downtown
02113,2023-2024,494,North End
02121,2023-2024,485,Roxbury
02125,2016-2017,469,Dorchester
02122,2023-2024,486,Dorchester
02127,2018-2019,484,South Boston
02124,2019-2020,479,Dorchester
02127,2021-2022,448,South Boston
02127,2019-2020,469,South Boston
02136,2023-2024,465,Hyde Park
02122,2022-2023,451,Dorchester
02113,2022-2023,445,Downtown
02113,2022-2023,445,North End
02136,2022-2023,429,Hyde Park
02131,2023-2024,427,Roslindale
02122,2020-2021,422,Dorchester
02127,2017-2018,406,South Boston
02124,2021-2022,398,Dorchester
02122,2018-2019,395,Dorchester
02131,2020-2021,387,Roslindale
02113,2021-2022,389,Downtown
02113,2021-2022,389,North End
02113,2017-2018,384,Downtown
02113,2017-2018,384,North End
02136,2020-2021,377,Hyde Park
02131,2022-2023,374,Roslindale
02113,2016-2017,369,Downtown
02113,2016-2017,369,North End
02121,2022-2023,367,Roxbury
02136,2018-2019,356,Hyde Park
02113,2020-2021,352,Downtown
02113,2020-2021,352,North End
02131,2018-2019,353,Roslindale
02127,2016-2017,340,South Boston
02113,2019-2020,350,Downtown
02113,2019-2020,350,North End
02113,2018-2019,336,Downtown
02113,2018-2019,336,North End
02121,2020-2021,310,Roxbury
02131,2019-2020,298,Roslindale
02132,2023-2024,294,West Roxbury
02122,2019-2020,289,Dorchester
02121,2018-2019,279,Roxbury
02136,2019-2020,273,Hyde Park
02121,2019-2020,265,Roxbury
02129,2023-2024,262,Charlestown
02132,2022-2023,248,West Roxbury
02132,2020-2021,250,West Roxbury
02126,2020-2021,241,Mattapan
02126,2022-2023,241,Mattapan
02122,2021-2022,233,Dorchester
02124,2016-2017,225,Dorchester
02131,2021-2022,228,Roslindale
02129,2022-2023,220,Charlestown
02126,2018-2019,220,Mattapan
02129,2020-2021,214,Charlestown
02131,2016-2017,203,Roslindale
02126,2023-2024,207,Mattapan
02132,2019-2020,202,West Roxbury
02131,2017-2018,193,Roslindale
02124,2017-2018,199,Dorchester
02136,2021-2022,199,Hyde Park
02129,2017-2018,186,Charlestown
02129,2016-2017,181,Charlestown
02108,2022-2023,182,Beacon Hill
02109,2023-2024,170,Downtown
02108,2023-2024,173,Beacon Hill
02126,2019-2020,170,Mattapan
02210,2023-2024,171,South Boston Waterfront
02121,2021-2022,165,Roxbury
02109,2022-2023,159,Downtown
02132,2018-2019,163,West Roxbury
02129,2021-2022,158,Charlestown
02129,2019-2020,154,Charlestown
02132,2021-2022,151,West Roxbury
02108,2017-2018,150,Beacon Hill
02132,2016-2017,143,West Roxbury
02121,2017-2018,143,Roxbury
02110,2023-2024,139,Downtown
02110,2017-2018,136,Downtown
02210,2022-2023,139,South Boston Waterfront
02136,2016-2017,128,Hyde Park
02109,2021-2022,122,Downtown
02126,2021-2022,132,Mattapan
02129,2018-2019,133,Charlestown
02122,2017-2018,127,Dorchester
02122,2016-2017,120,Dorchester
02121,2016-2017,119,Roxbury
02210,2021-2022,118,South Boston Waterfront
02108,2021-2022,117,Beacon Hill
02110,2020-2021,115,Downtown
02110,2022-2023,118,Downtown
02132,2017-2018,113,West Roxbury
02110,2021-2022,104,Downtown
02108,2018-2019,105,Beacon Hill
02108,2016-2017,102,Beacon Hill
02108,2020-2021,99,Beacon Hill
02136,2017-2018,96,Hyde Park
02108,2019-2020,92,Beacon Hill
02126,2016-2017,90,Mattapan
02109,2016-2017,89,Downtown
02110,2019-2020,85,Downtown
02109,2017-2018,85,Downtown
02199,2023-2024,84,Back Bay
02110,2016-2017,76,Downtown
02109,2020-2021,81,Downtown
02109,2018-2019,78,Downtown
02110,2018-2019,71,Downtown
02126,2017-2018,74,Mattapan
02109,2019-2020,73,Downtown
02210,2020-2021,73,South Boston Waterfront
02199,2017-2018,68,Back Bay
02199,2021-2022,63,Back Bay
02210,2019-2020,61,South Boston Waterfront
02210,2017-2018,59,South Boston Waterfront
02199,2022-2023,59,Back Bay
02199,2020-2021,52,Back Bay
02210,2016-2017,52,South Boston Waterfront
02210,2018-2019,51,South Boston Waterfront
02199,2019-2020,49,Back Bay
02199,2018-2019,43,Back Bay
02152,2017-2018,43,Winthrop
02199,2016-2017,40,Back Bay
02152,2016-2017,34,Winthrop
02152,2019-2020,31,Winthrop
02152,2018-2019,31,Winthrop
02152,2020-2021,30,Winthrop
02467,2019-2020,27,Chestnut Hill
02151,2020-2021,25,Revere
02467,2018-2019,24,Chestnut Hill
02467,2020-2021,22,Chestnut Hill
02152,2022-2023,21,Winthrop
02152,2023-2024,19,Winthrop
02151,2023-2024,19,Revere
02467,2017-2018,17,Chestnut Hill
02467,2023-2024,17,Chestnut Hill
02152,2021-2022,15,Winthrop
02467,2022-2023,14,Chestnut Hill
02467,2021-2022,13,Chestnut Hill
02151,2017-2018,9,Revere
02151,2019-2020,13,Revere
02151,2021-2022,9,Revere
02151,2018-2019,9,Revere
02163,2022-2023,7,Brighton
02163,2017-2018,6,Brighton
02163,2021-2022,6,Brighton
02163,2019-2020,4,Brighton
02163,2016-2017,4,Brighton
02163,2018-2019,4,Brighton
02163,2020-2021,4,Brighton
02021,2021-2022,2,Canton
02467,2016-2017,2,Chestnut Hill
02163,2023-2024,2,Brighton
02021,2020-2021,1,Canton
02021,2022-2023,1,Canton
