ZIP5,year,count,Neighbourhood
02134,2017-2018,7139,Allston
02115,2023-2024,6052,Fenway
02115,2023-2024,6052,Longwood
02115,2022-2023,5857,Fenway
02115,2022-2023,5857,Longwood
02215,2017-2018,5539,Fenway/Kenmore
02120,2023-2024,5212,Mission Hill
02120,2023-2024,5212,Roxbury
02215,2023-2024,5379,Fenway/Kenmore
02134,2023-2024,5256,Allston
02135,2023-2024,5230,Allston
02115,2017-2018,5087,Fenway
02115,2017-2018,5087,Longwood
02215,2022-2023,5108,Fenway/Kenmore
02120,2022-2023,4864,Mission Hill
02120,2022-2023,4864,Roxbury
02115,2021-2022,4689,Fenway
02115,2021-2022,4689,Longwood
02135,2022-2023,4785,Allston
02134,2021-2022,4758,Allston
02215,2021-2022,4597,Fenway/Kenmore
02120,2020-2021,4131,Mission Hill
02120,2020-2021,4131,Roxbury
02134,2022-2023,4400,Allston
02135,2017-2018,4329,Allston
02120,2017-2018,4030,Mission Hill
02120,2017-2018,4030,Roxbury
02115,2020-2021,4024,Fenway
02115,2020-2021,4024,Longwood
02135,2021-2022,4241,Allston
02115,2016-2017,4151,Fenway
02115,2016-2017,4151,Longwood
02134,2020-2021,3985,Allston
02135,2019-2020,3951,Allston
02134,2018-2019,3885,Allston
02120,2021-2022,3565,Mission Hill
02120,2021-2022,3565,Roxbury
02134,2016-2017,3809,Allston
02134,2019-2020,3842,Allston
02215,2020-2021,3604,Fenway/Kenmore
02120,2016-2017,3394,Mission Hill
02120,2016-2017,3394,Roxbury
02135,2016-2017,3598,Allston
02135,2020-2021,3568,Allston
02135,2018-2019,3352,Allston
02215,2016-2017,3221,Fenway/Kenmore
02215,2019-2020,3213,Fenway/Kenmore
02215,2018-2019,3133,Fenway/Kenmore
02130,2023-2024,2865,Jamaica Plain
02118,2023-2024,2566,South End
02115,2019-2020,2601,Fenway
02115,2019-2020,2601,Longwood
02125,2023-2024,2534,Dorchester
02119,2023-2024,2437,Roxbury
02115,2018-2019,2534,Fenway
02115,2018-2019,2534,Longwood
02130,2022-2023,2200,Jamaica Plain
02118,2017-2018,2218,South End
02118,2022-2023,2128,South End
02125,2022-2023,1976,Dorchester
02118,2021-2022,1868,South End
02118,2020-2021,1756,South End
02119,2022-2023,1653,Roxbury
02125,2018-2019,1592,Dorchester
02130,2020-2021,1522,Jamaica Plain
02130,2021-2022,1438,Jamaica Plain
02130,2017-2018,1418,Jamaica Plain
02125,2019-2020,1423,Dorchester
02125,2020-2021,1367,Dorchester
02128,2023-2024,1331,East Boston
02125,2021-2022,1262,Dorchester
02118,2016-2017,1256,South End
02116,2023-2024,1261,Back Bay
02116,2022-2023,1216,Back Bay
02118,2018-2019,1218,South End
02119,2020-2021,1173,Roxbury
02118,2019-2020,1151,South End
02116,2017-2018,1138,Back Bay
