Zip Code,Neighbourhood,Year,Population
2108.0,Beacon Hill,2016-2017,172
2108.0,Beacon Hill,2017-2018,176
2108.0,Beacon Hill,2018-2019,146
2108.0,Beacon Hill,2019-2020,124
2108.0,Beacon Hill,2020-2021,111
2108.0,Beacon Hill,2021-2022,114
2108.0,Beacon Hill,2022-2023,151
2108.0,Beacon Hill,2023-2024,169
2109.0,Downtown,2016-2017,114
2109.0,Downtown,2017-2018,93
2109.0,Downtown,2018-2019,80
2109.0,Downtown,2019-2020,87
2109.0,Downtown,2020-2021,92
2109.0,Downtown,2021-2022,130
2109.0,Downtown,2022-2023,154
2109.0,Downtown,2023-2024,176
2110.0,Downtown,2016-2017,44
2110.0,Downtown,2017-2018,101
2110.0,Downtown,2018-2019,111
2110.0,Downtown,2019-2020,122
2110.0,Downtown,2020-2021,102
2110.0,Downtown,2021-2022,101
2110.0,Downtown,2022-2023,97
2110.0,Downtown,2023-2024,112
2111.0,Chinatown,2016-2017,645
2111.0,Chinatown,2017-2018,654
2111.0,Chinatown,2018-2019,591
2111.0,Chinatown,2019-2020,574
2111.0,Chinatown,2020-2021,479
2111.0,Chinatown,2021-2022,556
2111.0,Chinatown,2022-2023,630
2111.0,Chinatown,2023-2024,663
2113.0,North End,2016-2017,372
2113.0,North End,2017-2018,365
2113.0,North End,2018-2019,335
2113.0,North End,2019-2020,357
2113.0,North End,2020-2021,301
2113.0,North End,2021-2022,494
2113.0,North End,2022-2023,467
2113.0,North End,2023-2024,535
2114.0,Downtown,2016-2017,794
2114.0,Downtown,2017-2018,883
2114.0,Downtown,2018-2019,699
2114.0,Downtown,2019-2020,634
2114.0,Downtown,2020-2021,543
2114.0,Downtown,2021-2022,686
2114.0,Downtown,2022-2023,889
2114.0,Downtown,2023-2024,936
2115.0,Fenway/Kenmore,2016-2017,4569
2115.0,Fenway/Kenmore,2017-2018,5030
2115.0,Fenway/Kenmore,2018-2019,5202
2115.0,Fenway/Kenmore,2019-2020,4956
2115.0,Fenway/Kenmore,2020-2021,3539
2115.0,Fenway/Kenmore,2021-2022,4191
2115.0,Fenway/Kenmore,2022-2023,4641
2115.0,Fenway/Kenmore,2023-2024,4454
2116.0,Back Bay,2016-2017,903
2116.0,Back Bay,2017-2018,1095
2116.0,Back Bay,2018-2019,836
2116.0,Back Bay,2019-2020,819
2116.0,Back Bay,2020-2021,672
2116.0,Back Bay,2021-2022,866
2116.0,Back Bay,2022-2023,903
2116.0,Back Bay,2023-2024,995
2118.0,South End,2016-2017,1541
2118.0,South End,2017-2018,2182
2118.0,South End,2018-2019,1756
2118.0,South End,2019-2020,1782
2118.0,South End,2020-2021,1651
2118.0,South End,2021-2022,1705
2118.0,South End,2022-2023,1732
2118.0,South End,2023-2024,1972
2119.0,Roxbury,2016-2017,787
2119.0,Roxbury,2017-2018,1001
2119.0,Roxbury,2018-2019,1023
2119.0,Roxbury,2019-2020,1081
2119.0,Roxbury,2020-2021,1015
2119.0,Roxbury,2021-2022,883
2119.0,Roxbury,2022-2023,1218
2119.0,Roxbury,2023-2024,1678
2120.0,Mission Hill,2016-2017,3734
2120.0,Mission Hill,2017-2018,3813
2120.0,Mission Hill,2018-2019,4186
2120.0,Mission Hill,2019-2020,4477
2120.0,Mission Hill,2020-2021,4065
2120.0,Mission Hill,2021-2022,3462
2120.0,Mission Hill,2022-2023,3607
2120.0,Mission Hill,2023-2024,3642
2120.0,Roxbury,2016-2017,3734
2120.0,Roxbury,2017-2018,3813
2120.0,Roxbury,2018-2019,4186
2120.0,Roxbury,2019-2020,4477
2120.0,Roxbury,2020-2021,4065
2120.0,Roxbury,2021-2022,3462
2120.0,Roxbury,2022-2023,3607
2120.0,Roxbury,2023-2024,3642
2121.0,Roxbury,2016-2017,360
2121.0,Roxbury,2017-2018,387
2121.0,Roxbury,2018-2019,330
2121.0,Roxbury,2019-2020,320
2121.0,Roxbury,2020-2021,314
2121.0,Roxbury,2021-2022,201
2121.0,Roxbury,2022-2023,394
2121.0,Roxbury,2023-2024,490
2122.0,Dorchester,2016-2017,426
2122.0,Dorchester,2017-2018,460
2122.0,Dorchester,2018-2019,469
2122.0,Dorchester,2019-2020,391
2122.0,Dorchester,2020-2021,466
2122.0,Dorchester,2021-2022,280
2122.0,Dorchester,2022-2023,472
2122.0,Dorchester,2023-2024,489
2124.0,Dorchester,2016-2017,2169
2124.0,Dorchester,2017-2018,3189
2124.0,Dorchester,2018-2019,2493
2124.0,Dorchester,2019-2020,1427
2124.0,Dorchester,2020-2021,2057
2124.0,Dorchester,2021-2022,1802
2124.0,Dorchester,2022-2023,5604
2124.0,Dorchester,2023-2024,6953
2125.0,Dorchester,2016-2017,1887
2125.0,Dorchester,2017-2018,1805
2125.0,Dorchester,2018-2019,1595
2125.0,Dorchester,2019-2020,1537
2125.0,Dorchester,2020-2021,1224
2125.0,Dorchester,2021-2022,1073
2125.0,Dorchester,2022-2023,1686
2125.0,Dorchester,2023-2024,2173
2126.0,Mattapan,2016-2017,237
2126.0,Mattapan,2017-2018,257
2126.0,Mattapan,2018-2019,250
2126.0,Mattapan,2019-2020,196
2126.0,Mattapan,2020-2021,235
2126.0,Mattapan,2021-2022,125
2126.0,Mattapan,2022-2023,217
2126.0,Mattapan,2023-2024,186
2127.0,South Boston,2016-2017,556
2127.0,South Boston,2017-2018,559
2127.0,South Boston,2018-2019,549
2127.0,South Boston,2019-2020,519
2127.0,South Boston,2020-2021,449
2127.0,South Boston,2021-2022,372
2127.0,South Boston,2022-2023,566
2127.0,South Boston,2023-2024,631
2128.0,East Boston,2016-2017,803
2128.0,East Boston,2017-2018,914
2128.0,East Boston,2018-2019,979
2128.0,East Boston,2019-2020,1016
2128.0,East Boston,2020-2021,978
2128.0,East Boston,2021-2022,714
2128.0,East Boston,2022-2023,1035
2128.0,East Boston,2023-2024,1234
2129.0,Charlestown,2016-2017,316
2129.0,Charlestown,2017-2018,339
2129.0,Charlestown,2018-2019,233
2129.0,Charlestown,2019-2020,279
2129.0,Charlestown,2020-2021,252
2129.0,Charlestown,2021-2022,184
2129.0,Charlestown,2022-2023,261
2129.0,Charlestown,2023-2024,310
2130.0,Jamaica Plain,2016-2017,1788
2130.0,Jamaica Plain,2017-2018,1947
2130.0,Jamaica Plain,2018-2019,1870
2130.0,Jamaica Plain,2019-2020,2094
2130.0,Jamaica Plain,2020-2021,1570
2130.0,Jamaica Plain,2021-2022,1658
2130.0,Jamaica Plain,2022-2023,1993
2130.0,Jamaica Plain,2023-2024,2280
2131.0,Roslindale,2016-2017,449
2131.0,Roslindale,2017-2018,439
2131.0,Roslindale,2018-2019,464
2131.0,Roslindale,2019-2020,403
2131.0,Roslindale,2020-2021,385
2131.0,Roslindale,2021-2022,230
2131.0,Roslindale,2022-2023,369
2131.0,Roslindale,2023-2024,423
2132.0,West Roxbury,2016-2017,264
2132.0,West Roxbury,2017-2018,236
2132.0,West Roxbury,2018-2019,226
2132.0,West Roxbury,2019-2020,249
2132.0,West Roxbury,2020-2021,250
2132.0,West Roxbury,2021-2022,157
2132.0,West Roxbury,2022-2023,205
2132.0,West Roxbury,2023-2024,266
2134.0,Allston,2016-2017,4293
2134.0,Allston,2017-2018,7611
2134.0,Allston,2018-2019,4324
2134.0,Allston,2019-2020,4261
2134.0,Allston,2020-2021,3965
2134.0,Allston,2021-2022,4745
2134.0,Allston,2022-2023,4153
2134.0,Allston,2023-2024,4911
2135.0,Brighton,2016-2017,4326
2135.0,Brighton,2017-2018,4861
2135.0,Brighton,2018-2019,3949
2135.0,Brighton,2019-2020,4518
2135.0,Brighton,2020-2021,3775
2135.0,Brighton,2021-2022,4206
2135.0,Brighton,2022-2023,4599
2135.0,Brighton,2023-2024,4983
2136.0,Hyde Park,2016-2017,552
2136.0,Hyde Park,2017-2018,487
2136.0,Hyde Park,2018-2019,499
2136.0,Hyde Park,2019-2020,397
2136.0,Hyde Park,2020-2021,427
2136.0,Hyde Park,2021-2022,250
2136.0,Hyde Park,2022-2023,509
2136.0,Hyde Park,2023-2024,628
2163.0,Brighton,2016-2017,4
2163.0,Brighton,2017-2018,6
2163.0,Brighton,2018-2019,4
2163.0,Brighton,2019-2020,2
2163.0,Brighton,2020-2021,4
2163.0,Brighton,2021-2022,4
2163.0,Brighton,2022-2023,5
2163.0,Brighton,2023-2024,1
2199.0,Back Bay,2016-2017,73
2199.0,Back Bay,2017-2018,99
2199.0,Back Bay,2018-2019,61
2199.0,Back Bay,2019-2020,69
2199.0,Back Bay,2020-2021,64
2199.0,Back Bay,2021-2022,82
2199.0,Back Bay,2022-2023,80
2199.0,Back Bay,2023-2024,103
2210.0,South Boston Waterfront,2016-2017,53
2210.0,South Boston Waterfront,2017-2018,51
2210.0,South Boston Waterfront,2018-2019,57
2210.0,South Boston Waterfront,2019-2020,66
2210.0,South Boston Waterfront,2020-2021,67
2210.0,South Boston Waterfront,2021-2022,114
2210.0,South Boston Waterfront,2022-2023,112
2210.0,South Boston Waterfront,2023-2024,146
2215.0,Fenway/Kenmore,2016-2017,3137
2215.0,Fenway/Kenmore,2017-2018,4298
2215.0,Fenway/Kenmore,2018-2019,3648
2215.0,Fenway/Kenmore,2019-2020,3773
2215.0,Fenway/Kenmore,2020-2021,2714
2215.0,Fenway/Kenmore,2021-2022,3474
2215.0,Fenway/Kenmore,2022-2023,3555
2215.0,Fenway/Kenmore,2023-2024,3862
2467.0,Chestnut Hill,2017-2018,1
2467.0,Chestnut Hill,2018-2019,2
2467.0,Chestnut Hill,2019-2020,3
2467.0,Chestnut Hill,2021-2022,1
2467.0,Chestnut Hill,2022-2023,1
2467.0,Chestnut Hill,2023-2024,3
