,Neighbourhood,year,description,count
84,Allston,2015.0,No use of premises permit:,1
85,Allston,2015.0,Protection of Adj. Property,1
86,Allston,2015.0,Right of Entry,3
87,Allston,2015.0,Testing & Certification,4
88,Allston,2015.0,Unsafe and Dangerous,25
89,Allston,2016.0,Failed to comply w permit term,4
90,Allston,2016.0,Failure to Obtain Permit,9
91,Allston,2016.0,Failure to Secure Permit,1
92,Allston,2016.0,Inspections,1
93,Allston,2016.0,Maintenance,5
94,Allston,2016.0,Means of Egress,1
95,Allston,2016.0,Stop Work Order,1
96,Allston,2016.0,Testing & Certification,2
97,Allston,2016.0,Unlawful Continuance,1
98,Allston,2016.0,Unsafe and Dangerous,2
99,Allston,2017.0,Approval required,1
100,Allston,2017.0,Bathrooms,1
101,Allston,2017.0,Door operations-Egress doors,1
102,Allston,2017.0,Emergency Exit,1
103,Allston,2017.0,Failed to comply w permit term,2
104,Allston,2017.0,Failure to Obtain Permit,10
105,Allston,2017.0,Locks and Latches,2
106,Allston,2017.0,Maintenance,11
107,Allston,2017.0,Permits,1
108,Allston,2017.0,Projections into Clear Width.,1
109,Allston,2017.0,Property Maintenance,1
110,Allston,2017.0,Testing & Certification,1
111,Allston,2017.0,Unsafe and Dangerous,3
112,Allston,2017.0,Uses not Permitted,1
113,Allston,2018.0,Failure to Obtain Permit,5
114,Allston,2018.0,Maintenance,1
115,Allston,2018.0,Unsafe Structure,2
116,Allston,2018.0,Unsafe and Dangerous,6
117,Allston,2019.0,Failure to Obtain Permit,2
118,Allston,2019.0,Maintenance,2
119,Allston,2019.0,Testing & Certification,4
120,Allston,2019.0,Unsafe and Dangerous,6
121,Allston,2020.0,Failure to Obtain Permit,6
122,Allston,2020.0,Maintenance,1
123,Allston,2021.0,Failure to Obtain Permit,3
124,Allston,2021.0,Maintenance,1
125,Allston,2021.0,Protection of Adj. Property,1
126,Allston,2021.0,Unsafe Structures,4
127,Allston,2021.0,Unsafe and Dangerous,3
128,Allston,2022.0,Failed to comply w permit term,1
129,Allston,2022.0,Failure to Obtain Permit,8
130,Allston,2022.0,Maintenance,4
131,Allston,2022.0,Right of Entry,2
132,Allston,2022.0,Testing & Certification,1
133,Allston,2022.0,Unsafe Structures,14
134,Allston,2023.0,Building or Use of Premise req,1
135,Allston,2023.0,Failed to comply w permit term,1
136,Allston,2023.0,Failure to Obtain Permit,3
137,Allston,2023.0,Maintenance,7
138,Allston,2023.0,Testing & Certification,1
139,Allston,2023.0,Unsafe Structures,3
140,Allston,2024.0,Failed to comply w permit term,1
141,Allston,2024.0,Failure to Obtain Permit,6
142,Allston,2024.0,Maintenance,7
143,Allston,2024.0,Permits,2
144,Allston,2024.0,Permits to perform gas fitting,1
145,Allston,2024.0,Right of Entry,1
146,Allston,2024.0,Testing & Certification,14
147,Allston,2024.0,Unsafe Structures,2
148,Allston,2024.0,Unsafe and Dangerous,1
149,Back Bay,2010.0,Acceptance Tests,1
150,Back Bay,2010.0,Certificate of Inspection,2
151,Back Bay,2010.0,Deteriorating Agents,1
152,Back Bay,2010.0,Failure to Comply w Bldg Code,2
153,Back Bay,2010.0,Fire Protection Systems,1
154,Back Bay,2010.0,Inspections,4
155,Back Bay,2010.0,Maintenance of Exterior,1
156,Back Bay,2010.0,Minimum Requirements,1
157,Back Bay,2010.0,Specialized codes,1
158,Back Bay,2010.0,Stop Work Order,1
159,Back Bay,2010.0,Unsafe Maintenance,5
160,Back Bay,2010.0,Unsafe and Dangerous,3
161,Back Bay,2010.0,Violation penalties,1
162,Back Bay,2011.0,Electrical Work w/out Permit,1
163,Back Bay,2011.0,Failed to comply w permit term,2
164,Back Bay,2011.0,Failure to Obtain Permit,6
165,Back Bay,2011.0,Maintenance,2
166,Back Bay,2011.0,Mechanical Execution of Work,1
167,Back Bay,2011.0,Permits,1
168,Back Bay,2011.0,Submittal Documents,1
169,Back Bay,2011.0,Unsafe & Dangerous,2
170,Back Bay,2011.0,Unsafe Maintenance,1
171,Back Bay,2011.0,Unsafe and Dangerous,1
172,Back Bay,2012.0,Certificate of Occupancy,1
173,Back Bay,2012.0,Clear Width,3
174,Back Bay,2012.0,Failed to comply w permit term,1
175,Back Bay,2012.0,Failure to Obtain Permit,8
176,Back Bay,2012.0,Maintenance,3
177,Back Bay,2012.0,Objectionable Current,1
178,Back Bay,2012.0,Referenced Codes & Standards,1
179,Back Bay,2012.0,Right of Entry,1
180,Back Bay,2012.0,Stop Work Order,1
181,Back Bay,2012.0,Testing & Certification,4
182,Back Bay,2012.0,Unlawful Acts,1
183,Back Bay,2012.0,Unsafe Structures,4
184,Back Bay,2012.0,Unsafe and Dangerous,8
185,Back Bay,2013.0,Application for Permit,1
186,Back Bay,2013.0,Certificate of Occupancy,2
187,Back Bay,2013.0,Failed to comply w permit term,1
188,Back Bay,2013.0,Failure to Comply w Bldg Code,1
189,Back Bay,2013.0,Failure to Obtain Permit,9
190,Back Bay,2013.0,Failure to secure permit,1
191,Back Bay,2013.0,Fire Alarm Ent. Response,1
192,Back Bay,2013.0,Inspections,1
193,Back Bay,2013.0,Periodic Inspections,1
194,Back Bay,2013.0,Right of Entry,2
195,Back Bay,2013.0,Testing & Certification,1
196,Back Bay,2013.0,Unsafe & Dangerous,1
197,Back Bay,2013.0,Unsafe Structures,1
198,Back Bay,2013.0,Unsafe and Dangerous,21
199,Back Bay,2014.0,Certificate of Occupancy,6
200,Back Bay,2014.0,Elec. Equip. & Connections,1
201,Back Bay,2014.0,Failed to comply w permit term,2
202,Back Bay,2014.0,Failure to Obtain Permit,11
203,Back Bay,2014.0,Inspections,1
204,Back Bay,2014.0,Maintenance,1
205,Back Bay,2014.0,Maintenance Access Features,1
206,Back Bay,2014.0,Means of Egress Illumination,1
207,Back Bay,2014.0,Mechanical Execution of Work,1
208,Back Bay,2014.0,Periodic Inspections,2
209,Back Bay,2014.0,Protection of Adj. Property,1
210,Back Bay,2014.0,Revocation of Certificate,1
211,Back Bay,2014.0,Unsafe and Dangerous,17
212,Back Bay,2014.0,Working Space,1
213,Back Bay,2015.0,Certificate of Occupancy,2
214,Back Bay,2015.0,Failed to comply w permit term,1
215,Back Bay,2015.0,Failure to Obtain Permit,17
216,Back Bay,2015.0,Fire Protection Systems,1
217,Back Bay,2015.0,Maintenance,6
218,Back Bay,2015.0,Periodic Inspections,5
219,Back Bay,2015.0,Reg. of Construction Hour,1
220,Back Bay,2015.0,Right of Entry,1
221,Back Bay,2015.0,Testing & Certification,23
222,Back Bay,2015.0,Unlawful Acts,1
223,Back Bay,2015.0,Unsafe and Dangerous,16
224,Back Bay,2016.0,Disconnecting Means,1
225,Back Bay,2016.0,Door Opening Force,1
226,Back Bay,2016.0,Exit Signs,1
227,Back Bay,2016.0,Failed to comply w permit term,2
228,Back Bay,2016.0,Failure to Obtain Permit,14
229,Back Bay,2016.0,Fire Alarm and Detection,1
230,Back Bay,2016.0,Fire Protection Systems,1
231,Back Bay,2016.0,Maintenance,8
232,Back Bay,2016.0,Manner of Removal,2
233,Back Bay,2016.0,Periodic Inspections,5
234,Back Bay,2016.0,Protection of Adj. Property,1
235,Back Bay,2016.0,Referenced Codes,1
236,Back Bay,2016.0,Right of Entry,2
237,Back Bay,2016.0,Suspension or Revocation,2
238,Back Bay,2016.0,Testing & Certification,13
239,Back Bay,2016.0,Unlawful Acts,1
240,Back Bay,2016.0,Unsafe and Dangerous,6
241,Back Bay,2016.0,Work without permit,1
242,Back Bay,2017.0,Emergency escape and rescue,1
243,Back Bay,2017.0,Failed to comply w permit term,2
244,Back Bay,2017.0,Failure to Obtain Permit,13
245,Back Bay,2017.0,Fire and Smoke Protection,1
246,Back Bay,2017.0,Guards Where Required,1
247,Back Bay,2017.0,Maintenance,5
248,Back Bay,2017.0,Means of Egress,1
249,Back Bay,2017.0,Other Laws,1
250,Back Bay,2017.0,Periodic Inspections,1
251,Back Bay,2017.0,Right of Entry,1
252,Back Bay,2017.0,Unsafe and Dangerous,4
253,Back Bay,2017.0,Uses not Permitted,1
254,Back Bay,2018.0,Acts 1956 as Amended,1
255,Back Bay,2018.0,Certificate of Occupancy,1
256,Back Bay,2018.0,Failed to comply w permit term,4
257,Back Bay,2018.0,Failure to Obtain Permit,3
258,Back Bay,2018.0,Maintenance,6
259,Back Bay,2018.0,Means of Egress,1
260,Back Bay,2018.0,Periodic Inspections,1
261,Back Bay,2018.0,Testing & Certification,6
262,Back Bay,2018.0,Unsafe and Dangerous,11
263,Back Bay,2019.0,AFCI,1
264,Back Bay,2019.0,Certificate of Occupancy,3
265,Back Bay,2019.0,Failure to Obtain Permit,14
266,Back Bay,2019.0,Failure to secure permit,1
267,Back Bay,2019.0,Fire Protection Systems,3
268,Back Bay,2019.0,Fire Separation,2
269,Back Bay,2019.0,Inspections,1
270,Back Bay,2019.0,Locks and Latches,1
271,Back Bay,2019.0,Maintenance,7
272,Back Bay,2019.0,Maintenance of Means of Egress,1
273,Back Bay,2019.0,Modification fire protection,1
274,Back Bay,2019.0,Municipal Bylaws or Ordinances,1
275,Back Bay,2019.0,Number of Exits or Exit Access,1
276,Back Bay,2019.0,Periodic Inspections,1
277,Back Bay,2019.0,Permits,1
278,Back Bay,2019.0,Protection of Adj. Property,1
279,Back Bay,2019.0,Protection of Pedestrians,1
280,Back Bay,2019.0,Reg. of Construction Hour,1
281,Back Bay,2019.0,Suspension or Revocation,1
282,Back Bay,2019.0,Testing & Certification,6
283,Back Bay,2019.0,Unsafe and Dangerous,11
284,Back Bay,2020.0,Certificate of Occupancy,1
285,Back Bay,2020.0,Failed to comply w permit term,3
286,Back Bay,2020.0,Failure to Obtain Permit,10
287,Back Bay,2020.0,Fire Separation,1
288,Back Bay,2020.0,Maintenance,1
289,Back Bay,2020.0,Maintenance of Means of Egress,1
290,Back Bay,2020.0,Municipal Bylaws or Ordinances,2
291,Back Bay,2020.0,Periodic Inspections,1
292,Back Bay,2020.0,Required Inspections,1
293,Back Bay,2020.0,Testing & Certification,9
294,Back Bay,2020.0,Unsafe and Dangerous,7
295,Back Bay,2021.0,Elec work w/o per,1
296,Back Bay,2021.0,Failure to Obtain Permit,10
297,Back Bay,2021.0,Maintenance,1
298,Back Bay,2021.0,Municipal Bylaws or Ordinances,1
299,Back Bay,2021.0,Testing & Certification,1
300,Back Bay,2022.0,Access to Public Way,1
301,Back Bay,2022.0,Egress Doors,5
302,Back Bay,2022.0,Emergency Escape & Rescue,1
303,Back Bay,2022.0,Failed to comply w permit term,3
304,Back Bay,2022.0,Failure to Obtain Permit,6
305,Back Bay,2022.0,Maintenance,4
306,Back Bay,2022.0,Maintenance of Means of Egress,4
307,Back Bay,2022.0,Periodic Inspections,2
308,Back Bay,2022.0,Testing & Certification,14
309,Back Bay,2022.0,Unsafe Structures,2
310,Back Bay,2022.0,Working Space,1
311,Back Bay,2023.0,Automatic Sprinkler System,1
312,Back Bay,2023.0,Certificate of Occupancy,1
313,Back Bay,2023.0,Defective Plumbing,1
314,Back Bay,2023.0,Emergency Escape & Rescue,1
315,Back Bay,2023.0,Failed to comply w permit term,2
316,Back Bay,2023.0,Failure to Obtain Permit,3
317,Back Bay,2023.0,Fire Protection Systems,1
318,Back Bay,2023.0,Maintenance,6
319,Back Bay,2023.0,Municipal Bylaws or Ordinances,1
320,Back Bay,2023.0,Number of Exits or Exit Access,1
321,Back Bay,2023.0,Periodic Inspections,3
322,Back Bay,2023.0,Protection of Adj. Property,1
323,Back Bay,2023.0,Receptacle Outlets,1
324,Back Bay,2023.0,Testing & Certification,4
325,Back Bay,2023.0,Unsafe Structures,4
326,Back Bay,2024.0,Failed to comply w permit term,2
327,Back Bay,2024.0,Failure to Obtain Permit,8
328,Back Bay,2024.0,Failure to secure permit,1
329,Back Bay,2024.0,Maintenance,11
330,Back Bay,2024.0,Reg. of Construction Hour,1
331,Back Bay,2024.0,Suspension or Revocation,1
332,Back Bay,2024.0,Testing & Certification,7
333,Back Bay,2024.0,Unsafe Structures,2
335,Beacon Hill,2010.0,Deteriorating Agents,3
336,Beacon Hill,2010.0,Failed to comply w PRMT terms,3
337,Beacon Hill,2010.0,Inspections,1
338,Beacon Hill,2010.0,Maintenance of Exterior,1
339,Beacon Hill,2010.0,Meter Tapping,1
340,Beacon Hill,2010.0,Minimum Requirements,1
341,Beacon Hill,2010.0,Protection of Adj. Property,1
342,Beacon Hill,2010.0,Unsafe Maintenance,1
343,Beacon Hill,2010.0,Unsafe Structure,7
344,Beacon Hill,2010.0,Unsafe and Dangerous,5
345,Beacon Hill,2011.0,Certificate of Inspection,1
346,Beacon Hill,2011.0,Maintenance,7
347,Beacon Hill,2011.0,Repair,1
348,Beacon Hill,2011.0,Unsafe and Dangerous,5
349,Beacon Hill,2011.0,Working Space,1
350,Beacon Hill,2012.0,Failure to Obtain Permit,2
351,Beacon Hill,2012.0,Right of Entry,1
352,Beacon Hill,2012.0,Unsafe and Dangerous,2
353,Beacon Hill,2013.0,Failed to comply w permit term,2
354,Beacon Hill,2013.0,Failure to Obtain Permit,7
355,Beacon Hill,2013.0,Fire-resistance rating,1
356,Beacon Hill,2013.0,Horozontal assemblies;Fire,1
357,Beacon Hill,2013.0,Locks and Latches,1
358,Beacon Hill,2013.0,Periodic Inspections,1
359,Beacon Hill,2013.0,Protection of Adj. Property,1
360,Beacon Hill,2013.0,Unlawful Continuance,1
361,Beacon Hill,2013.0,Unsafe and Dangerous,12
362,Beacon Hill,2014.0,Application for Permit,1
363,Beacon Hill,2014.0,Certificate of Occupancy,1
364,Beacon Hill,2014.0,Failed to comply w permit term,1
365,Beacon Hill,2014.0,Failure to call Inspections,1
366,Beacon Hill,2014.0,Periodic Inspections,1
367,Beacon Hill,2014.0,Protection of Adj. Property,3
368,Beacon Hill,2014.0,Unsafe and Dangerous,1
369,Beacon Hill,2015.0,Automatic Sprinkler System,1
370,Beacon Hill,2015.0,Certificate of Occupancy,2
371,Beacon Hill,2015.0,Exit Enclosures,1
372,Beacon Hill,2015.0,Failure to Obtain Permit,5
373,Beacon Hill,2015.0,Failure to Secure Permit,1
374,Beacon Hill,2015.0,Maintenance,2
375,Beacon Hill,2015.0,Means of Egress,1
376,Beacon Hill,2015.0,Required Inspections,1
377,Beacon Hill,2015.0,Testing & Certification,5
378,Beacon Hill,2015.0,Testing&Maintenance Sprinklers,1
379,Beacon Hill,2015.0,Unsafe and Dangerous,5
380,Beacon Hill,2016.0,.,1
381,Beacon Hill,2016.0,Certificate of Occupancy,1
382,Beacon Hill,2016.0,Exits,3
383,Beacon Hill,2016.0,Failure to Obtain Permit,5
384,Beacon Hill,2016.0,Fire Stop System,1
385,Beacon Hill,2016.0,Fire-resistance rating,1
386,Beacon Hill,2016.0,Horozontal assemblies;Fire,1
387,Beacon Hill,2016.0,Maintenance,6
388,Beacon Hill,2016.0,Secured in Place,1
389,Beacon Hill,2016.0,Table A Use Item 34A,1
390,Beacon Hill,2016.0,Through Penedtrations,1
391,Beacon Hill,2016.0,Unlawful Acts,1
392,Beacon Hill,2016.0,Unsafe and Dangerous,1
393,Beacon Hill,2017.0,Exits,2
394,Beacon Hill,2017.0,Failure to Obtain Permit,3
395,Beacon Hill,2017.0,Testing&Maintenance Sprinklers,1
396,Beacon Hill,2017.0,Unsafe and Dangerous,4
397,Beacon Hill,2018.0,Failure to Obtain Permit,2
398,Beacon Hill,2018.0,Maintenance,2
399,Beacon Hill,2018.0,Means of Egress,1
400,Beacon Hill,2018.0,Suspension or Revocation,2
401,Beacon Hill,2018.0,Testing & Certification,3
402,Beacon Hill,2018.0,Unsafe and Dangerous,3
403,Beacon Hill,2019.0,Failed to comply w permit term,1
404,Beacon Hill,2019.0,Failure to Obtain Permit,4
405,Beacon Hill,2019.0,Fire Separation,1
406,Beacon Hill,2019.0,Maintenance,2
407,Beacon Hill,2019.0,Suspension or Revocation,1
408,Beacon Hill,2019.0,Testing & Certification,3
409,Beacon Hill,2019.0,Unsafe and Dangerous,6
410,Beacon Hill,2020.0,Failed to comply w permit term,1
411,Beacon Hill,2020.0,Failure to Obtain Permit,2
412,Beacon Hill,2020.0,Maintenance,8
413,Beacon Hill,2020.0,Periodic Inspections,1
414,Beacon Hill,2020.0,Referenced Codes & Standards,1
415,Beacon Hill,2020.0,Testing & Certification,1
416,Beacon Hill,2020.0,Unsafe and Dangerous,1
417,Beacon Hill,2021.0,Failure to Obtain Permit,1
418,Beacon Hill,2021.0,Maintenance,3
419,Beacon Hill,2021.0,Testing & Certification,3
420,Beacon Hill,2022.0,Failure to Obtain Permit,2
421,Beacon Hill,2022.0,Maintenance,4
422,Beacon Hill,2022.0,Testing & Certification,6
423,Beacon Hill,2022.0,Unsafe Structures,1
424,Beacon Hill,2023.0,Failure to Obtain Permit,1
425,Beacon Hill,2023.0,Maintenance,6
426,Beacon Hill,2024.0,Failure to Obtain Permit,2
427,Beacon Hill,2024.0,Inspection of exterior walls.,1
428,Beacon Hill,2024.0,Maintenance,4
429,Beacon Hill,2024.0,Municipal Bylaws or Ordinances,1
430,Beacon Hill,2024.0,Periodic Inspections,1
431,Beacon Hill,2024.0,Testing & Certification,3
433,Brighton,2010.0,Boston Zoning Code,1
434,Brighton,2010.0,Building or Use of Premise req,4
435,Brighton,2010.0,Certificate of Inspection,1
436,Brighton,2010.0,Construction Safeguards,1
437,Brighton,2010.0,Failed to comply w PRMT terms,1
438,Brighton,2010.0,Inspections,22
439,Brighton,2010.0,Maintenance,1
440,Brighton,2010.0,Mechanical Execution of Work,1
441,Brighton,2010.0,Right of Entry,4
442,Brighton,2010.0,Testing & Certification,2
443,Brighton,2010.0,Unlawful Acts,1
444,Brighton,2010.0,Unsafe Maintenance,7
445,Brighton,2010.0,Unsafe and Dangerous,15
446,Brighton,2011.0,Building or Use of Premise req,1
447,Brighton,2011.0,Certificate of Inspection,2
448,Brighton,2011.0,Electrical Work w/out Permit,1
449,Brighton,2011.0,Electrical Work w/out a Permit,3
450,Brighton,2011.0,Failed to comply w permit term,1
451,Brighton,2011.0,Failure to Obtain Permit,9
452,Brighton,2011.0,Failure to Secure Permit,1
453,Brighton,2011.0,Failure to secure permit,2
454,Brighton,2011.0,Fire Escape Affidavit,1
455,Brighton,2011.0,Inspections,5
456,Brighton,2011.0,Maintenance,3
457,Brighton,2011.0,Other Laws,1
458,Brighton,2011.0,Periodic Inspections,2
459,Brighton,2011.0,Right of Entry,2
460,Brighton,2011.0,Suspension or Revocation,1
461,Brighton,2011.0,Unsafe Maintenance,1
462,Brighton,2011.0,Unsafe Structure,1
463,Brighton,2011.0,Unsafe and Dangerous,5
464,Brighton,2012.0,Building or Use of Premise req,2
465,Brighton,2012.0,Failed to comply w PRMT terms,1
466,Brighton,2012.0,Failed to comply w permit term,1
467,Brighton,2012.0,Failure to Obtain Permit,14
468,Brighton,2012.0,Failure to Secure Permit,1
469,Brighton,2012.0,Guarding of Live parts,2
470,Brighton,2012.0,Inspections,4
471,Brighton,2012.0,Integrity of,1
472,Brighton,2012.0,Maintenance,2
473,Brighton,2012.0,Mass State Plumbing Code,1
474,Brighton,2012.0,Mechanical Execution of Work,1
475,Brighton,2012.0,Openings to be closed,1
476,Brighton,2012.0,Permits,1
477,Brighton,2012.0,Permits to perform gas fitting,1
478,Brighton,2012.0,Protection of Adj. Property,1
479,Brighton,2012.0,Right of Entry,10
480,Brighton,2012.0,Securing and Supporting,1
481,Brighton,2012.0,Unsafe Structures,1
482,Brighton,2012.0,Unsafe and Dangerous,19
483,Brighton,2012.0,Uses not permitted,1
484,Brighton,2013.0,Building or Use of Premise req,4
485,Brighton,2013.0,Failed to comply w permit term,1
486,Brighton,2013.0,Failure to Obtain Permit,24
487,Brighton,2013.0,Inspections,1
488,Brighton,2013.0,Periodic Inspections,1
489,Brighton,2013.0,Principle #18,1
490,Brighton,2013.0,Right of Entry,8
491,Brighton,2013.0,Suspension or Revocation,1
492,Brighton,2013.0,Unsafe and Dangerous,26
493,Brighton,2013.0,Working Without a Permit,1
494,Brighton,2014.0,Building or Use of Premise req,3
495,Brighton,2014.0,Certificate of Occupancy,6
496,Brighton,2014.0,Exit Passageways,1
497,Brighton,2014.0,Failed to comply w permit term,2
498,Brighton,2014.0,Failure to Obtain Permit,19
499,Brighton,2014.0,Failure to secure permit,1
500,Brighton,2014.0,Maintenance,2
501,Brighton,2014.0,Mass State Plumbing Code,1
502,Brighton,2014.0,Periodic Inspections,1
503,Brighton,2014.0,Principle #18,1
504,Brighton,2014.0,Protection of Adj. Property,1
505,Brighton,2014.0,Pull & Junction Box,1
506,Brighton,2014.0,Right of Entry,21
507,Brighton,2014.0,Service Size & Rating,1
508,Brighton,2014.0,Space About Electrical Service,1
509,Brighton,2014.0,Testing & Certification,3
510,Brighton,2014.0,Unsafe and Dangerous,24
511,Brighton,2015.0,Building or Use of Premise req,3
512,Brighton,2015.0,Certificate of Occupancy,2
513,Brighton,2015.0,Disconnecting Means Service,1
514,Brighton,2015.0,Egress Maintenance,1
515,Brighton,2015.0,Electrical Work w/out Permit,1
516,Brighton,2015.0,Failed to comply w permit term,1
517,Brighton,2015.0,Failure to Obtain Permit,31
518,Brighton,2015.0,Maintenance,4
519,Brighton,2015.0,Protection of Adj. Property,9
520,Brighton,2015.0,Right of Entry,2
521,Brighton,2015.0,Suspension or Revocation,1
522,Brighton,2015.0,Unsafe Structure,1
523,Brighton,2015.0,Unsafe and Dangerous,16
524,Brighton,2016.0,Approach to Access Entrance,1
525,Brighton,2016.0,Building or Use of Premise req,1
526,Brighton,2016.0,Emergency Escape & Rescue,1
527,Brighton,2016.0,Failed to comply w permit term,3
528,Brighton,2016.0,Failure to Obtain Permit,18
529,Brighton,2016.0,Failure to comply w permits,1
530,Brighton,2016.0,Maintenance,5
531,Brighton,2016.0,Unsafe Maintenance,1
532,Brighton,2016.0,Unsafe and Dangerous,10
533,Brighton,2017.0,Exits Maintained,1
534,Brighton,2017.0,Failed to comply w permit term,1
535,Brighton,2017.0,Failure to Obtain Permit,24
536,Brighton,2017.0,Maintenance,14
537,Brighton,2017.0,Property Maintenance,2
538,Brighton,2017.0,Protection of Adj. Property,1
539,Brighton,2017.0,Referenced Codes & Standards,1
540,Brighton,2017.0,Unsafe and Dangerous,7
541,Brighton,2018.0,Building or Use of Premise req,3
542,Brighton,2018.0,Failed to comply w permit term,1
543,Brighton,2018.0,Failure to Obtain Permit,20
544,Brighton,2018.0,Fire Protection Systems,1
545,Brighton,2018.0,Maintenance,2
546,Brighton,2018.0,Permits,1
547,Brighton,2018.0,Protection of Adj. Property,1
548,Brighton,2018.0,Right of Entry,1
549,Brighton,2018.0,Testing & Certification,1
550,Brighton,2018.0,Unsafe and Dangerous,14
551,Brighton,2019.0,Certificate of Occupancy,2
552,Brighton,2019.0,Deteriorating Agents,1
553,Brighton,2019.0,Failed to comply w permit term,3
554,Brighton,2019.0,Failure to Obtain Permit,5
555,Brighton,2019.0,Maintenance,2
556,Brighton,2019.0,Maintenance of Means of Egress,1
557,Brighton,2019.0,Protection of Adj. Property,1
558,Brighton,2019.0,Testing & Certification,1
559,Brighton,2019.0,Unsafe and Dangerous,11
560,Brighton,2020.0,Failure to Obtain Permit,7
561,Brighton,2020.0,Fire Protection Systems,1
562,Brighton,2020.0,Maintenance,2
563,Brighton,2020.0,Reg. of Construction Hour,1
564,Brighton,2020.0,Unsafe and Dangerous,8
565,Brighton,2021.0,Building or Use of Premise req,1
566,Brighton,2021.0,Failure to Obtain Permit,10
567,Brighton,2021.0,Unsafe Structures,5
568,Brighton,2021.0,Unsafe and Dangerous,5
569,Brighton,2022.0,Failed to comply w permit term,1
570,Brighton,2022.0,Failure to Obtain Permit,8
571,Brighton,2022.0,Maintenance,6
572,Brighton,2022.0,Maintenance of Means of Egress,1
573,Brighton,2022.0,Protection of Adj. Property,1
574,Brighton,2022.0,Right of Entry,1
575,Brighton,2022.0,Unsafe Structures,7
576,Brighton,2023.0,Clearance from Windows,1
577,Brighton,2023.0,Failure to Obtain Permit,4
578,Brighton,2023.0,Fire Protection Systems,2
