,Neighbourhood,year,description,count
0,Allston,2010.0,Application for Permit,1
1,Allston,2010.0,Building or Use of Premise req,4
2,Allston,2010.0,Carbon Monoxide Detectors,1
3,Allston,2010.0,Door Locks,1
4,Allston,2010.0,Failed to comply w PRMT terms,1
5,Allston,2010.0,Failure to secure permit,2
6,Allston,2010.0,Fire Escape Affidavit,2
7,Allston,2010.0,Inspections,25
8,Allston,2010.0,Maintenance,1
9,Allston,2010.0,Right of Entry,2
10,Allston,2010.0,Smoke Detectors,1
11,Allston,2010.0,Testing & Certification,2
12,Allston,2010.0,Unsafe Maintenance,12
13,Allston,2010.0,Unsafe Structure,2
14,Allston,2010.0,Unsafe Structures,1
15,Allston,2010.0,Unsafe and Dangerous,11
16,Allston,2011.0,Building or Use of Premise req,1
17,Allston,2011.0,Electrical Work w/out a Permit,1
18,Allston,2011.0,Failure to Obtain Permit,2
19,Allston,2011.0,Fire Escape Affidavit,1
20,Allston,2011.0,Guarding of Live Ports,1
21,Allston,2011.0,Illumination,1
22,Allston,2011.0,Inspections,3
23,Allston,2011.0,Maintenance,2
24,Allston,2011.0,Right of Entry,1
25,Allston,2011.0,Unsafe Maintenance,2
26,Allston,2011.0,Unsafe Structures,1
27,Allston,2011.0,Unsafe and Dangerous,5
28,Allston,2012.0,Boston Zoning Code,1
29,Allston,2012.0,Boxes Where Required,2
30,Allston,2012.0,Certificate of Occupancy,1
31,Allston,2012.0,Clear Width,1
32,Allston,2012.0,Corridors,1
33,Allston,2012.0,Failure to Obtain Permit,17
34,Allston,2012.0,Hazrdous Means of Egress,1
35,Allston,2012.0,Inspections,2
36,Allston,2012.0,Maintenance,8
37,Allston,2012.0,Mounting Elec. Equipment,1
38,Allston,2012.0,Right of Entry,11
39,Allston,2012.0,Smoke Alarms,1
40,Allston,2012.0,Testing & Certification,4
41,Allston,2012.0,Unsafe Maintenance,5
42,Allston,2012.0,Unsafe and Dangerous,13
43,Allston,2012.0,Uses Not Permitted,1
44,Allston,2012.0,Uses not permitted,1
45,Allston,2013.0,"Boxes, Where Required",1
46,Allston,2013.0,Building or Use of Premise req,1
47,Allston,2013.0,Deteriorating Agents,1
48,Allston,2013.0,Failed to comply w permit term,1
49,Allston,2013.0,Failure to Obtain Permit,21
50,Allston,2013.0,Guarding of Live parts,1
51,Allston,2013.0,Handrails/safety,1
52,Allston,2013.0,Permits,1
53,Allston,2013.0,Pool barrier,1
54,Allston,2013.0,Right of Entry,11
55,Allston,2013.0,Testing & Certification,3
56,Allston,2013.0,Unsafe & Dangerous,1
57,Allston,2013.0,Unsafe and Dangerous,24
58,Allston,2013.0,Uses not permitted,2
59,Allston,2013.0,Working Without a Permit,1
60,Allston,2014.0,Electrical Work w/out a Permit,1
61,Allston,2014.0,Exit Passageways,5
62,Allston,2014.0,Failure to Obtain Permit,25
63,Allston,2014.0,Guarding of Live parts,1
64,Allston,2014.0,I.S.S.U,1
65,Allston,2014.0,Integrity of Elec. Equip.,1
66,Allston,2014.0,Maintenance,1
67,Allston,2014.0,Mass. State Electrical Code,1
68,Allston,2014.0,Mechanical Execution of Work,1
69,Allston,2014.0,Mounting & Cooling Equipment,1
70,Allston,2014.0,Right of Entry,9
71,Allston,2014.0,Supervision of Electricians,1
72,Allston,2014.0,Testing & Certification,10
73,Allston,2014.0,Type NM Cable,1
74,Allston,2014.0,Unsafe and Dangerous,26
75,Allston,2014.0,Uses not permitted,1
76,Allston,2014.0,Working Without a Permit,1
77,Allston,2015.0,Approval of Documents,2
78,Allston,2015.0,Certificate of Occupancy,2
79,Allston,2015.0,Electrical Work w/out Permit,2
80,Allston,2015.0,Failed to comply w permit term,5
81,Allston,2015.0,Failure to Obtain Permit,20
82,Allston,2015.0,Maintenance,9
83,Allston,2015.0,Means of Egress,1
