Neighbourhood,%_bldgs_occupied_by_students,Building Type,Count
Dorchester,3.155740035253312,no_of_bldgs_student,555.0
Roxbury,3.501416430594901,no_of_bldgs_student,309.0
West Roxbury,0.4953998584571833,no_of_bldgs_student,42.0
Hyde Park,1.3246753246753247,no_of_bldgs_student,102.0
Roslindale,0.8634807205597738,no_of_bldgs_student,58.0
Jamaica Plain,1.9027484143763214,no_of_bldgs_student,117.0
East Boston,5.146816232266579,no_of_bldgs_student,312.0
South Boston,2.601107568383957,no_of_bldgs_student,155.0
Brighton,4.387947269303202,no_of_bldgs_student,233.0
Mattapan,2.4554646124217623,no_of_bldgs_student,102.0
Charlestown,2.039355992844365,no_of_bldgs_student,57.0
South End,5.061155630535639,no_of_bldgs_student,120.0
Back Bay,6.7078972407231205,no_of_bldgs_student,141.0
Allston,9.773712084737602,no_of_bldgs_student,203.0
Fenway/Kenmore,7.810107197549771,no_of_bldgs_student,153.0
Downtown,9.66183574879227,no_of_bldgs_student,140.0
Mission Hill,9.946029298380878,no_of_bldgs_student,129.0
North End,13.93939393939394,no_of_bldgs_student,115.0
Beacon Hill,5.521472392638037,no_of_bldgs_student,36.0
Chinatown,9.523809523809524,no_of_bldgs_student,32.0
South Boston Waterfront,2.158273381294964,no_of_bldgs_student,6.0
Dorchester,3.155740035253312,no_of_bldgs,17587.0
Roxbury,3.501416430594901,no_of_bldgs,8825.0
West Roxbury,0.4953998584571833,no_of_bldgs,8478.0
Hyde Park,1.3246753246753247,no_of_bldgs,7700.0
Roslindale,0.8634807205597738,no_of_bldgs,6717.0
Jamaica Plain,1.9027484143763214,no_of_bldgs,6149.0
East Boston,5.146816232266579,no_of_bldgs,6062.0
South Boston,2.601107568383957,no_of_bldgs,5959.0
Brighton,4.387947269303202,no_of_bldgs,5310.0
Mattapan,2.4554646124217623,no_of_bldgs,4154.0
Charlestown,2.039355992844365,no_of_bldgs,2795.0
South End,5.061155630535639,no_of_bldgs,2371.0
Back Bay,6.7078972407231205,no_of_bldgs,2102.0
Allston,9.773712084737602,no_of_bldgs,2077.0
Fenway/Kenmore,7.810107197549771,no_of_bldgs,1959.0
Downtown,9.66183574879227,no_of_bldgs,1449.0
Mission Hill,9.946029298380878,no_of_bldgs,1297.0
North End,13.93939393939394,no_of_bldgs,825.0
Beacon Hill,5.521472392638037,no_of_bldgs,652.0
Chinatown,9.523809523809524,no_of_bldgs,336.0
South Boston Waterfront,2.158273381294964,no_of_bldgs,278.0
